text,customer_name,source,created_at,metadata
Want scheduled email reports - HealthTech Solutions,HealthTech Solutions,demo,2025-11-25T15:09:50.404776,"{""category"": ""Reporting"", ""priority"": ""medium""}"
Need dashboard for executive metrics - StartupXYZ,StartupXYZ,demo,2025-10-18T15:09:50.404780,"{""category"": ""Reporting"", ""priority"": ""low""}"
We're hitting API rate limits during peak hours - MegaRetail,MegaRetail,demo,2025-11-20T15:09:50.404785,"{""category"": ""API Performance"", ""priority"": ""high""}"
API timeout errors during batch operations - HealthTech Solutions,HealthTech Solutions,demo,2025-08-29T15:09:50.404789,"{""category"": ""API Performance"", ""priority"": ""high""}"
API response time is too slow (>2 seconds) - TechStart Inc,TechStart Inc,demo,2025-09-28T15:09:50.404793,"{""category"": ""API Performance"", ""priority"": ""high""}"
Mobile app crashes on iOS 17 - BigCo Enterprises,BigCo Enterprises,demo,2025-09-03T15:09:50.404798,"{""category"": ""Mobile App"", ""priority"": ""low""}"
Need role-based access control - HealthTech Solutions,HealthTech Solutions,demo,2025-08-31T15:09:50.404802,"{""category"": ""User Management"", ""priority"": ""high""}"
Need role-based access control - HealthTech Solutions,HealthTech Solutions,demo,2025-11-12T15:09:50.404806,"{""category"": ""User Management"", ""priority"": ""medium""}"
We're hitting API rate limits during peak hours - StartupXYZ,StartupXYZ,demo,2025-10-08T15:09:50.404811,"{""category"": ""API Performance"", ""priority"": ""high""}"
Want scheduled email reports - FinanceHub,FinanceHub,demo,2025-09-02T15:09:50.404816,"{""category"": ""Reporting"", ""priority"": ""medium""}"
Need higher rate limits for enterprise plan - HealthTech Solutions,HealthTech Solutions,demo,2025-10-01T15:09:50.404820,"{""category"": ""API Performance"", ""priority"": ""medium""}"
Need role-based access control - EduPlatform,EduPlatform,demo,2025-10-09T15:09:50.404824,"{""category"": ""User Management"", ""priority"": ""high""}"
Can't bulk invite users via CSV - BigCo Enterprises,BigCo Enterprises,demo,2025-10-27T15:09:50.404844,"{""category"": ""User Management"", ""priority"": ""medium""}"
